Artist Name;Top Track;Track Picture URL;Track Link;Artist Picture URL
DREAMS COME TRUE;何度でも;https://lastfm.freetls.fastly.net/i/u/64s/e8091c4b2b2a427c84f6dd97a5a645e4.jpg;https://www.last.fm/music/DREAMS+COME+TRUE/_/%E4%BD%95%E5%BA%A6%E3%81%A7%E3%82%82;http://userserve-ak.last.fm/serve/252/55220027.png
swedem;I tryggt förvar hos mig (Lay a;Not Found;https://www.last.fm/music/swedem/_/I+tryggt+f%C3%B6rvar+hos+mig+(Lay+a;
Jon Brion;"Phone Call - From ""Eternal Sunshine of the Spotless Mind""/Score";Not Found;https://www.last.fm/music/Jon+Brion/_/Phone+Call+-+From+%22Eternal+Sunshine+of+the+Spotless+Mind%22%2FScore;http://userserve-ak.last.fm/serve/252/379176.jpg
Current 93;All the Pretty Little Horsies;Not Found;https://www.last.fm/music/Current+93/_/All+the+Pretty+Little+Horsies;http://userserve-ak.last.fm/serve/252/69383.jpg
Lungbutter;Honey;https://lastfm.freetls.fastly.net/i/u/64s/0426fca751978eaaf00509444df7eaa0.jpg;https://www.last.fm/music/Lungbutter/_/Honey;http://userserve-ak.last.fm/serve/252/2919291.jpg
Preslee;sam spokiy;Not Found;https://www.last.fm/music/Preslee/_/sam+spokiy;http://userserve-ak.last.fm/serve/252/43402961.jpg
CjClip;Is your trouble;https://lastfm.freetls.fastly.net/i/u/64s/187f1e1423c8411b64caf118fd8e27fb.jpg;https://www.last.fm/music/CjClip/_/Is+your+trouble;http://userserve-ak.last.fm/serve/252/43738413.jpg
Daville;My Arms;Not Found;https://www.last.fm/music/Daville/_/My+Arms;http://userserve-ak.last.fm/serve/252/10584321.jpg
Fool's Garden;Lemon Tree;https://lastfm.freetls.fastly.net/i/u/64s/fcfef96515de40d3bc3be86f76a43ad3.jpg;https://www.last.fm/music/Fool%27s+Garden/_/Lemon+Tree;http://userserve-ak.last.fm/serve/252/44438869.jpg
The Infinity Project;Flute Line;https://lastfm.freetls.fastly.net/i/u/64s/770acc72e3aa4fd79613ebd1cbd1428d.jpg;https://www.last.fm/music/The+Infinity+Project/_/Flute+Line;http://userserve-ak.last.fm/serve/252/29739107.jpg
Joell Ortiz;Hip Hop;https://lastfm.freetls.fastly.net/i/u/64s/a1ba1452f876450d859b09d841490d38.jpg;https://www.last.fm/music/Joell+Ortiz/_/Hip+Hop;http://userserve-ak.last.fm/serve/252/4974269.jpg
AMBIREP;Nusauk kubiliu;Not Found;https://www.last.fm/music/AMBIREP/_/Nusauk+kubiliu;http://userserve-ak.last.fm/serve/252/36532769.jpg
矢井田瞳;my sweet darlin';https://lastfm.freetls.fastly.net/i/u/64s/fc40b3559c75094c69fd3d6423e235df.jpg;https://www.last.fm/music/%E7%9F%A2%E4%BA%95%E7%94%B0%E7%9E%B3/_/my+sweet+darlin%27;http://userserve-ak.last.fm/serve/252/59279323.png
Iris;NUMB;https://lastfm.freetls.fastly.net/i/u/64s/4c6531e64bbc4236c23bb4a282d529d7.jpg;https://www.last.fm/music/Iris/_/NUMB;http://userserve-ak.last.fm/serve/252/5789156.jpg
SuG;R.P.G. ～ Rockin' Playing Game;https://lastfm.freetls.fastly.net/i/u/64s/6d8053bd6c42411419d5fa4351dc4a05.jpg;https://www.last.fm/music/Sug/_/R.P.G.+%EF%BD%9E+Rockin%27+Playing+Game;http://userserve-ak.last.fm/serve/252/57533223.png
Peste Noire;Le Mort Joyeux;https://lastfm.freetls.fastly.net/i/u/64s/73ace3127a364bd0cbd8b0605b0a9c5c.jpg;https://www.last.fm/music/Peste+Noire/_/Le+Mort+Joyeux;http://userserve-ak.last.fm/serve/252/406605.jpg
Trouble;Snake Eyes;https://lastfm.freetls.fastly.net/i/u/64s/80b23c9285f83ff2abaab4a3a7fae265.jpg;https://www.last.fm/music/Trouble/_/Snake+Eyes;http://userserve-ak.last.fm/serve/252/2323652.jpg
The Opus;Take Me to the Basement (feat. Aesop Rock);https://lastfm.freetls.fastly.net/i/u/64s/3802623903c547cb89a78cc98ae3f40a.jpg;https://www.last.fm/music/The+Opus/_/Take+Me+to+the+Basement+(feat.+Aesop+Rock);http://userserve-ak.last.fm/serve/252/170836.jpg
Gnawa Njoum Experience;Marhaba;https://lastfm.freetls.fastly.net/i/u/64s/12bb4af966b65a7fce864e0c2ae25cfd.jpg;https://www.last.fm/music/Gnawa+Njoum+Experience/_/Marhaba;http://userserve-ak.last.fm/serve/252/20473661.jpg
Thomas/БИ-2/Сплин;Сердце;Not Found;https://www.last.fm/music/Thomas%2F%D0%91%D0%B8-2%2F%D0%A1%D0%BF%D0%BB%D0%B8%D0%BD/_/%D0%A1%D0%B5%D1%80%D0%B4%D1%86%D0%B5;http://userserve-ak.last.fm/serve/252/47778683.jpg
